id,observed_on,quality_grade,scientific_name,common_name,latitude,longitude,positional_accuracy,geoprivacy,captive,user,uri
58702794,2007-07-08,research,Crotaphytus collaris,Eastern Collared Lizard,34.769931582,-98.6824147215,,obscured,False,floridensis,https://www.inaturalist.org/observations/58702794
25823600,2007-07-08,research,Crotaphytus collaris,Eastern Collared Lizard,34.6483894191,-98.6208246024,,obscured,False,floridensis,https://www.inaturalist.org/observations/25823600
58702797,2007-07-08,research,Crotaphytus collaris,Eastern Collared Lizard,34.713113131,-98.791137025,,obscured,False,floridensis,https://www.inaturalist.org/observations/58702797
238181689,2007-10-05,research,Crotaphytus collaris,Eastern Collared Lizard,34.7321248503,-98.715567127,555.0,,False,creepycrittersftw,https://www.inaturalist.org/observations/238181689
261148740,2008-04-20,research,Crotaphytus collaris,Eastern Collared Lizard,36.83712,-96.4079,3.0,,False,sleepyhyrax,https://www.inaturalist.org/observations/261148740
246609330,2008-06-22,research,Crotaphytus collaris,Eastern Collared Lizard,35.3266242588,-97.3496582938,31.0,,False,vibo3bo,https://www.inaturalist.org/observations/246609330
233381150,2008-07-03,research,Crotaphytus collaris,Eastern Collared Lizard,36.133424883,-96.3416522414,4.0,,False,dan2465,https://www.inaturalist.org/observations/233381150
1732583,2008-10-11,research,Crotaphytus collaris,Eastern Collared Lizard,34.742776,-98.59162,27.0,,False,savage,http://www.inaturalist.org/observations/1732583
15061509,2009-07-11,research,Crotaphytus collaris,Eastern Collared Lizard,34.7334714204,-98.5934974838,1919.0,,False,robert_s,https://www.inaturalist.org/observations/15061509
22535050,2009-07-14,research,Crotaphytus collaris,Eastern Collared Lizard,34.7413989233,-94.5332725632,12005.0,,False,robert_s,https://www.inaturalist.org/observations/22535050
24067992,2009-07-17,research,Crotaphytus collaris,Eastern Collared Lizard,36.8626898682,-102.8890793334,122.0,,False,robert_s,https://www.inaturalist.org/observations/24067992
38817820,2009-08-02,research,Crotaphytus collaris,Eastern Collared Lizard,34.7332470554,-98.7137452023,4.0,,False,ryruther,https://www.inaturalist.org/observations/38817820
10451163,2009-09-19,research,Crotaphytus collaris,Eastern Collared Lizard,36.365,-98.579,50.0,,False,milkweedguy,https://www.inaturalist.org/observations/10451163
254546864,2010-06-12,research,Crotaphytus collaris,Eastern Collared Lizard,35.9230746213,-95.7556453104,488.0,obscured,False,tshahan,https://www.inaturalist.org/observations/254546864
70687,2010-06-26,research,Crotaphytus collaris,Eastern Collared Lizard,34.7554737656,-98.6724505629,13928.0,,False,mbarton,http://www.inaturalist.org/observations/70687
149451750,2010-07-10,research,Crotaphytus collaris,Eastern Collared Lizard,34.7252109911,-98.6787297177,31.0,,False,michael5664,https://www.inaturalist.org/observations/149451750
260291326,2010-07-20,research,Crotaphytus collaris,Eastern Collared Lizard,36.9454796666,-102.987751924,297.0,,False,tjhathcock,https://www.inaturalist.org/observations/260291326
70811,2010-07-31,research,Crotaphytus collaris,Eastern Collared Lizard,34.7566020435,-98.6683306898,14430.0,,False,mbarton,http://www.inaturalist.org/observations/70811
9668277,2010-08-15,research,Crotaphytus collaris,Eastern Collared Lizard,34.7444993,-98.5318696,730.0,,False,hholbrook,https://www.inaturalist.org/observations/9668277
39562647,2011-02-12,research,Crotaphytus collaris,Eastern Collared Lizard,36.3643644435,-98.5799413259,191.0,,False,manderson80,https://www.inaturalist.org/observations/39562647
40107779,2011-02-12,research,Crotaphytus collaris,Eastern Collared Lizard,36.3632033614,-98.5802524421,61.0,,False,manderson80,https://www.inaturalist.org/observations/40107779
40107781,2011-02-12,research,Crotaphytus collaris,Eastern Collared Lizard,36.3632413226,-98.5798554751,139.0,,False,manderson80,https://www.inaturalist.org/observations/40107781
195864622,2011-04-18,research,Crotaphytus collaris,Eastern Collared Lizard,36.0174575922,-99.4784263951,2599.0,,False,greenjay6,https://www.inaturalist.org/observations/195864622
195872326,2011-04-18,research,Crotaphytus collaris,Eastern Collared Lizard,36.0174575922,-99.4784263951,2599.0,,False,greenjay6,https://www.inaturalist.org/observations/195872326
195873444,2011-04-18,research,Crotaphytus collaris,Eastern Collared Lizard,36.0174575922,-99.4784263951,2599.0,,False,greenjay6,https://www.inaturalist.org/observations/195873444
41801655,2011-05-11,research,Crotaphytus collaris,Eastern Collared Lizard,34.6225213986,-98.718138423,492.0,obscured,False,tshahan,https://www.inaturalist.org/observations/41801655
30968536,2011-05-15,research,Crotaphytus collaris,Eastern Collared Lizard,34.6919364447,-98.5806772578,61.0,,False,ryansteiner,https://www.inaturalist.org/observations/30968536
56903724,2011-05-17,research,Crotaphytus collaris,Eastern Collared Lizard,36.3637251382,-98.5813789694,191.0,,False,manderson80,https://www.inaturalist.org/observations/56903724
56903726,2011-05-17,research,Crotaphytus collaris,Eastern Collared Lizard,36.3637251382,-98.5813789694,191.0,,False,manderson80,https://www.inaturalist.org/observations/56903726
56903727,2011-05-17,research,Crotaphytus collaris,Eastern Collared Lizard,36.3637251382,-98.5813789694,191.0,,False,manderson80,https://www.inaturalist.org/observations/56903727
177217532,2011-05-21,research,Crotaphytus collaris,Eastern Collared Lizard,34.7377895084,-98.7357513208,1135.0,,False,spelikan,https://www.inaturalist.org/observations/177217532
651867,2011-06-14,research,Crotaphytus collaris,Eastern Collared Lizard,34.711905,-98.680841,27.0,,False,phnix_risin,http://www.inaturalist.org/observations/651867
30968612,2011-07-01,research,Crotaphytus collaris,Eastern Collared Lizard,34.6947755228,-98.6128538698,61.0,,False,ryansteiner,https://www.inaturalist.org/observations/30968612
73787323,2011-07-02,research,Crotaphytus collaris,Eastern Collared Lizard,34.7134352756,-98.6809650019,488.0,,False,snakesat,https://www.inaturalist.org/observations/73787323
30968649,2011-07-10,research,Crotaphytus collaris,Eastern Collared Lizard,34.6839617265,-98.4074191768,15.0,,False,ryansteiner,https://www.inaturalist.org/observations/30968649
33475,2011-10-01,research,Crotaphytus collaris,Eastern Collared Lizard,35.3257700463,-97.3443603516,,,False,greenmother,http://www.inaturalist.org/observations/33475
10005106,2011-10-01,research,Crotaphytus collaris,Eastern Collared Lizard,34.7008,-98.6732,25.0,,False,milkweedguy,https://www.inaturalist.org/observations/10005106
40108267,2012-04-19,research,Crotaphytus collaris,Eastern Collared Lizard,36.456696043,-96.9921720468,982.0,,False,manderson80,https://www.inaturalist.org/observations/40108267
40108272,2012-04-19,research,Crotaphytus collaris,Eastern Collared Lizard,36.4564653672,-96.9923437083,88.0,,False,manderson80,https://www.inaturalist.org/observations/40108272
107730720,2012-04-28,research,Crotaphytus collaris,Eastern Collared Lizard,34.7317055889,-98.7175262946,559.0,,False,dbree,https://www.inaturalist.org/observations/107730720
179255988,2012-04-28,research,Crotaphytus collaris,Eastern Collared Lizard,34.7039027778,-98.6873027778,,,False,argonauta,https://www.inaturalist.org/observations/179255988
103054399,2012-05-01,research,Crotaphytus collaris,Eastern Collared Lizard,36.9571622537,-102.9574298859,652.0,,False,greenjay6,https://www.inaturalist.org/observations/103054399
9967127,2012-05-04,research,Crotaphytus collaris,Eastern Collared Lizard,36.939,-102.985,500.0,,False,milkweedguy,https://www.inaturalist.org/observations/9967127
651866,2012-05-12,research,Crotaphytus collaris,Eastern Collared Lizard,34.726915,-98.596426,27.0,,False,phnix_risin,http://www.inaturalist.org/observations/651866
5498245,2012-06-11,research,Crotaphytus collaris,Eastern Collared Lizard,34.7229641098,-98.7021374702,15.0,,False,vicfazio3,https://www.inaturalist.org/observations/5498245
17723971,2012-09-29,research,Crotaphytus collaris,Eastern Collared Lizard,36.2119459877,-96.0487249161,313.0,,False,johngsalamander,https://www.inaturalist.org/observations/17723971
12678088,2013-04-07,research,Crotaphytus collaris,Eastern Collared Lizard,34.6885164966,-97.9271781504,125000.0,,False,justkate,https://www.inaturalist.org/observations/12678088
249502,2013-04-29,research,Crotaphytus collaris,Eastern Collared Lizard,34.723134,-98.702186,27.0,,False,vicfazio3,http://www.inaturalist.org/observations/249502
200900965,2013-05-04,research,Crotaphytus collaris,Eastern Collared Lizard,34.708701306,-98.6902640299,795.0,,False,thomasdohertybone,https://www.inaturalist.org/observations/200900965
28714244,2013-05-22,research,Crotaphytus collaris,Eastern Collared Lizard,34.7839419558,-98.6238922107,4886.0,obscured,False,badger8181,https://www.inaturalist.org/observations/28714244
28714245,2013-05-22,research,Crotaphytus collaris,Eastern Collared Lizard,34.7084917864,-98.7622630471,4886.0,obscured,False,badger8181,https://www.inaturalist.org/observations/28714245
28714011,2013-06-01,research,Crotaphytus collaris,Eastern Collared Lizard,34.6222551262,-98.785036372,10655.0,obscured,False,badger8181,https://www.inaturalist.org/observations/28714011
28714012,2013-06-01,research,Crotaphytus collaris,Eastern Collared Lizard,34.6975625469,-98.717006785,10655.0,obscured,False,badger8181,https://www.inaturalist.org/observations/28714012
28714013,2013-06-01,research,Crotaphytus collaris,Eastern Collared Lizard,34.7805740132,-98.6656345581,10655.0,obscured,False,badger8181,https://www.inaturalist.org/observations/28714013
28714014,2013-06-01,research,Crotaphytus collaris,Eastern Collared Lizard,34.7640992572,-98.6203917823,10655.0,obscured,False,badger8181,https://www.inaturalist.org/observations/28714014
28714015,2013-06-01,research,Crotaphytus collaris,Eastern Collared Lizard,34.6540138943,-98.6711085796,10655.0,obscured,False,badger8181,https://www.inaturalist.org/observations/28714015
28714016,2013-06-01,research,Crotaphytus collaris,Eastern Collared Lizard,34.6269650136,-98.605217516,10655.0,obscured,False,badger8181,https://www.inaturalist.org/observations/28714016
28714017,2013-06-01,research,Crotaphytus collaris,Eastern Collared Lizard,34.703407628,-98.7897479776,10655.0,obscured,False,badger8181,https://www.inaturalist.org/observations/28714017
28714020,2013-06-01,research,Crotaphytus collaris,Eastern Collared Lizard,34.6283688093,-98.6501640919,10655.0,obscured,False,badger8181,https://www.inaturalist.org/observations/28714020
287928,2013-06-03,research,Crotaphytus collaris,Eastern Collared Lizard,34.673976,-98.551338,27.0,,False,vicfazio3,http://www.inaturalist.org/observations/287928
328132013,2013-06-07,research,Crotaphytus collaris,Eastern Collared Lizard,34.7400995892,-98.5920263646,15.0,,False,joegrzybowski,https://www.inaturalist.org/observations/328132013
45961333,2013-06-07,research,Crotaphytus collaris,Eastern Collared Lizard,34.7390989228,-98.656854393,12549.0,,False,burdnurd14,https://www.inaturalist.org/observations/45961333
46516566,2013-06-08,research,Crotaphytus collaris,Eastern Collared Lizard,34.7509605,-98.6820636,17814.0,,False,burdnurd14,https://www.inaturalist.org/observations/46516566
10311262,2013-06-13,research,Crotaphytus collaris,Eastern Collared Lizard,35.3617647738,-97.3745012672,188.0,,False,salticidude,https://www.inaturalist.org/observations/10311262
120724779,2013-06-21,research,Crotaphytus collaris,Eastern Collared Lizard,34.7065281268,-98.6814605617,3103.0,,False,drewlz,https://www.inaturalist.org/observations/120724779
322145,2013-07-04,research,Crotaphytus collaris,Eastern Collared Lizard,34.687626,-98.426744,27.0,,False,vicfazio3,http://www.inaturalist.org/observations/322145
35867833,2013-07-18,research,Crotaphytus collaris,Eastern Collared Lizard,36.3633666667,-98.5806166667,,,False,xpda,https://www.inaturalist.org/observations/35867833
339207,2013-07-19,research,Crotaphytus collaris,Eastern Collared Lizard,34.777034,-98.973423,6.0,,False,vicfazio3,http://www.inaturalist.org/observations/339207
385386,2013-08-31,research,Crotaphytus collaris,Eastern Collared Lizard,34.71807,-98.517033,54.0,,False,vicfazio3,http://www.inaturalist.org/observations/385386
3472172,2013-09-05,research,Crotaphytus collaris,Eastern Collared Lizard,34.729716,-98.688437,,,False,leehoy,http://www.inaturalist.org/observations/3472172
600782,2014-03-30,research,Crotaphytus collaris,Eastern Collared Lizard,34.765676,-98.621984,13693.0,,False,shoot2retrieve,http://www.inaturalist.org/observations/600782
20290470,2014-04-19,research,Crotaphytus collaris,Eastern Collared Lizard,34.7509605,-98.6820636,17814.0,,False,ehjalmarson,https://www.inaturalist.org/observations/20290470
35895776,2014-04-22,research,Crotaphytus collaris,Eastern Collared Lizard,34.794279,-98.72544,4.0,,False,bob777,https://www.inaturalist.org/observations/35895776
68169748,2014-04-22,research,Crotaphytus collaris,Eastern Collared Lizard,34.766292,-98.730156,104.0,,False,bob777,https://www.inaturalist.org/observations/68169748
9243185,2014-04-22,research,Crotaphytus collaris,Eastern Collared Lizard,34.745998,-98.532847,,,False,bob777,https://www.inaturalist.org/observations/9243185
28704011,2014-04-26,research,Crotaphytus collaris,Eastern Collared Lizard,34.7898929423,-98.6476768991,8579.0,obscured,False,badger8181,https://www.inaturalist.org/observations/28704011
651844,2014-04-27,research,Crotaphytus collaris,Eastern Collared Lizard,34.712655,-98.640854,27.0,,False,phnix_risin,http://www.inaturalist.org/observations/651844
651861,2014-04-27,research,Crotaphytus collaris,Eastern Collared Lizard,34.712655,-98.640854,27.0,,False,phnix_risin,http://www.inaturalist.org/observations/651861
